Col 1,Col 2,Col 3,Col 4,Col 5,Source URL
Musk,kastr,Misk/Mushk,"Maan madham,kasthoori",,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Animal-Part.asp
Nose,ns,Anf,"Mookku, Naasi",,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Animal-Part.asp
Penis,mehra/ liga,Qazeeb/ Zakar,Aan Kuri,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Animal-Part.asp
Sacrum,trik,,"Peedikai,Pin iduppu",,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Animal-Part.asp
shell,Jalaukti,Sadfah / Sadaf / Farfeer / Feruqas,Kilinjal,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Animal-Part.asp
Shoulder,Skandha,Katif/ Shaanah,Thol poruthu,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Animal-Part.asp
Skin,carma,Jild/ Post,"Thol,Sarumam",,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Animal-Part.asp
Thigh/s,Uru,Fakhiz/ Raan,Thodai,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Animal-Part.asp
Tooth / Teeth,Danta,,Pal,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Animal-Part.asp
Umblicus,nbhi,Naaf,"Thoppool, Naabi",,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Animal-Part.asp
Vagina,apatyapatha/yoni,Mahbil,Yoni,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Animal-Part.asp
