Col 1,Col 2,Col 3,Col 4,Col 5,Source URL
Aristolochia indica Linn.,"var, gandhankul",Rudraaj / Zaraawand-e-Hindi,"Echwara mooli, Karuda kodi, Perunkizhangu,Perumarundhu,Talaisuruli",The Indian Birthwort,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Plant-Name.asp
Asarum europaeum Linn.,Tagara,Asaaroon/Tagar,"Nila kadambu, Mutherukkansevi, Kuyakkaalam, Kookanam","Asarbacca, Hazelwort,Wild Nard",https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Plant-Name.asp
Asparagus adscendens Roxb.,veta Musal,,Thanneervittan,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Plant-Name.asp
Azadirachta indica A. Juss.,Nimba,Neem,"Vembu, Arittam, Nimbam, Paripathiram, Pisumantham, Vepachetta",neem,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Plant-Name.asp
Bacopa monnieri,Brhm,brahmi,"Neerpirami, Sapthalai, Sarumam, Sambiranipoondu","coastal waterhyssop ,    herb of grace,    herb-of-grace",https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Plant-Name.asp
Barleria prionitis Linn.,Saireyaka,Pya bansa/Jhinti,Semmulli,porcupine flower,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Plant-Name.asp
Benincasa hispida,kma,Petha / Mahdayah/Kohila,"Boosani, Kalyana poosani, Poosanikkai",waxgourd,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Plant-Name.asp
Berberis aristata DC. / Berberis asiatica Roxb. / Berberis lycium Royle,druharidr,,"Maramanjal, Mullu kalaa, Usi kalaa",Indian Barberry,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Plant-Name.asp
Bombax malabaricum DC.,,,"Mulilavu, Chaanmali, Poorani, Ponghar, Mousham, Maraattimokku",Silk Cotton Tree,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Plant-Name.asp
Cadaba trifoliate W. &A.,,,"Maravizhuthi, Manudukkurundu, Vizhuthi",,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Plant-Name.asp
Cassia fistula Linn.,ragvadha,Amaltaas/Kheyaar shanbar,"Kondrai, Aragoram, Idhali, Mathalai,Kiruthaamalam,Aakkuvadham, Konnei, Sarakonrai, Sarakonraipuli",golden shower,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Plant-Name.asp
Cassia senna Linn. var. senna Syn.,"svarapatr, mrkanik",Sana,"Nilavaagai,Aalakaalam,Thaalini,Kuyathinalagai,Kamathaayam","Indian Senna, Tinnevelly
Senna",https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Plant-Name.asp
Catunaregam spinosa,,,"Madukarai, Karai, Maraadam","Mountain Pomegranate, Spiny Randia, False guava, Thorny Bone apple, Common emetic nut",https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Plant-Name.asp
