Col 1,Col 2,Col 3,Col 4,Col 5,Source URL
Diseases of the urinary system,mtraroga,Amraaz-e-Nizaam-e-Bauliyah,Siriuneeraga  Noigal,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Disorders of menstruation,Rajodoa,,"Soothagak kolaaru, Maathavidayil aerpadum noikal",,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Distension of abdomen,opa,,Vayiru Porumal,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Dryness,,,Varatchi,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Dryness of mouth,mukhaoa,,Vaai Varatchi,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Dysarthria,gadgdsvrat,,Thikku vaai,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Dysentery,pravhik,Zaheer,Nina kazhichal,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Dysfunctional uterine bleeding,asj / raktayoni,,Perumpaadu,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Dyspepsia,agnimndya,Su-e-Hazm/Badhazmi/Nuqsan e shahwat,Pasi inmai,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Dysuria,mtrakcchra,Usr-e- Baul,"Neer erichal,Neer kaduppu",,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Ear diseases,kararoga,Amraaz-e-uzn,Sevi Noigal,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Emaciating disease,kaya,,Ilaippu noi,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Enlargement of spleen,plhodara,,"Peeliga Veekkam, Edappaatteeral veekkam",,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
excessive hunger,bhasmaka,,"Adhipasi,Migupasi,Athethappasi",,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Excessive moistening of eye,Netra kleda,,Kanneer Ozhugal,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Excessive salivation,kaphapraseka/ llpraseka,,Adi umizh Neer suratthal,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Facial Paralysis,ardita,,Muga Vaatham,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Fainting,mrcch,Ghashi,Mayakka noi,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Flatus of piles,,,Moola vaayu,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Freckle,vyaga,Kalaf,Karun Themal,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Gaseous/Flatulence,,,Vaayu,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Gastric tympanitis,pratydhmna,,Vayiru Uppisam,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Glandular swelling in the form of an abscess occuring chiefly in such parts of the body,,,Kiranthi,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Gonorrhoea,upadaa,Suzaak,"Seezh Megam,Vellai noi,Mega noi",,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Haemoptysis,rakta nihvana,Nafs-ud-dam,Rattha Irumal,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Heart disease,vtika  hdayaroga,,Vali Thamaraga Noi,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Heat,,,"Soodu, Vaeppam",,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
heaviness,gaurava,Siql,Paruman,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Hydrocele,,,"Viraivaatham, Andavaatham, Peesavaatham",,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Infections due to handling and zoophilic,,,Thodam,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Infertility,vandhyatva,,Maladu,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Inflammation of the eye,,,Kansivappu,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Inflammatory condition of the eye lid,yva vartma,,Imai Thadippu,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
influenza,raktajapratiyya,,Kuruthi Neer Paaichal,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Iris prolapse,ajakjta,,Kundham,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Kaphaja,kaphaja,,"Iyyam,Kabam,Siletthumam",,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Leprosy,,,"Thozhunoi, Kuttam, Perunoi",,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Leucorrhoea,vetapradara,Sailaane-Rehm,"Vellai noi,Vettai noi,Megam",,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Lithiasis conjunctivae,vartma arkar,,Amara pillam,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Lunacy,,,"Unmaatham, Unmatham",,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Madarosis,pakmata,,Puruva Mayir Puzhuvettu,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Malaria,viamajvara,Humma-e- Ajaamiya,Vida/Nanju Suram,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Menorrhagia / Metrorrhagia,rakta pradara / asgdara,Kasrat-e-tams/ Istehaaza,"Kuruthi ozhukku noikal,Perumpaadu",,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Nausea,hllsa,Ghasayaan,"Ookkaalam,Vaikumattal,",,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Non-healing ulcer,duavraa,,"Aaaraa Pun, Silanthi",,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Orchitis,,,"Viraiveekam, Vidhaiveekam, Anda vaayu",,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
OsteoArthritis,kroukara,,"Moottu Enpuvaatham,Azhal keel vaayu-muzhankaal moottu",,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Paediatric abdominal pain,bla udarala,,Kuzhanthai vayitru vali,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Paediatric pneumonia,utphullik,,Iyya Suram,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Pain,rj/vedan,Waja,Vali,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Peripheral neuritis,tvakgtavta,,"Eripitham,Kara paadha soolai,Kai kaal erivu",,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Pittaja,pittaja,,"Azhal,Pittham",,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Pricking pain,Toda,,Kuthuthal pondra vali,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Puerperal diseases,stikroga,Amraaz-e-nifaas/parsoot,Pirasa Kala Noigal,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Raktaja,raktaja,,Kuruthikaedu,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Rhagades,vipdik,,Sen Kuttam,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Rickets,phakkaroga,Kusaah,"Kanai, Elumburukki",,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Sannipataja / Tridosaja,sanniptaja / tridoaja,,Mukkutra Noigal,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Scabies,kacch,Jarab-wa-Hikka,Sori sirangu,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Seminal disorders,ukra roga,,Vindhu Noigal,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Smoky vision,dhmadar,,Kan Pugaichal,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Snake bite,sarpadaa,Ladghat-ul-Haiya,Paampukkadi,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Sphenoidal sinusitis,anyatovta,,Azhal Mookkadaipu,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Stiffness,jya/ graha,,Viraippu,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Symptoms due to supression of natural urge of micturition,Mtranigrahaja Udvarta,,Siruneerai thadai saeivathal undagum kurigunam,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Syncope,mrcch,,"Mayakka noi,Sanniyaasam",,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Syphilis,phiraga,Aatashak,"Korukku Noi,Parangi noi, Aankurip pun",,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Tastelessness,mukhavairasya,,Suvai Inmai,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Tenesmus,,,Mukkal,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Toothache,dantala,Waja-ul- Asnaan,Pal Vali,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Tubercular cough,kayaja ksa,,Elaippu erumal,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Ulcer,vraa,,Pun,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Unconsciousness,acaitanya / acetana,Faqd-ul-Waii,Moorchai,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Uterine tumour,rakta gulma,,Karuppai Katti,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Vata-kaphaja,vtakaphaja,,Vali Iyyam,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Vataja,Vataja,,"Vali,Vaatham,Vaayu",,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Venereal disease,Sujka Aupasargika Meha,,"Maega noi, Vettai noi",,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Venereal heat,,,"Maegak kaangai, Vettaich choodu, Vettai",,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Vitiligo,vitra,Baras,Ven Padai,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Vomiting,chardi,Qai,"Vaanthi ,Sarthi,Vamanam,Vaayaalaedutthal",,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
