Col 1,Col 2,Col 3,Col 4,Col 5,Source URL
Kidney,Vrkka,Kulyah,"Pirukkam,Neerkkundikkaai",,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
Labour Pain,,Dard-e-Zeh,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
Lac,,Laakh/Luk,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
Larynx,,Hanjarah,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
Ligament,Snayu,Ribaat,Thasainaar,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
Lip,Oha,Shafat/lab/honth,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
Liver,yakta,Kabid,"Eeral,Kalleeral,Valappaatu eeral",,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
Lower Extremity,,Atraaf-e-Asfal,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
Lung,Phuphphusa,Riya / Phephra,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
Mammary gland,Stanya granthi,Ghudda-e-Sadi/Pistaan,Mulai,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
Mesentric vein,,Urooq-e-Maasaareeqa,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
Mouth,mukha,Fam/Dahan,Vaai,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
Muscle,Msape,A'zlaat,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
Musk,kastr,Misk/Mushk,"Maan madham,kasthoori",,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
Nail,Nakha,Zufrah,Nagam,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
nostrils,Nsaputa,nathne,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
oesophagus,Annanalik,Mari,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
