Col 1,Col 2,Col 3,Col 4,Col 5,Source URL
Infiltration,,Insebab,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Misc.asp
Intercourse,Maithuna/Vyavya,Jima,,Intercourse,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Misc.asp
Irritation,Kobha,Sozish/laza/tahayyuj,,Irritation,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Misc.asp
lukewarm,Sukhoa/ mandoa,Neem garam,,lukewarm,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Misc.asp
manual removal of placenta,,Istikhraaj-e-masheema,,manual removal of placenta,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Misc.asp
Morbid,,Faasid,,Morbid,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Misc.asp
Nutraceuticals,,Ghizaa-e-Dawaai,,Nutritive medicine,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Misc.asp
obstruction,Avarodha,Suddah/Rokaawat/Insidaad,,obstruction,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Misc.asp
oven,,Tandoor,,oven,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Misc.asp
pestle,,Dastah,,pestle,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Misc.asp
Pneum,,Reeh,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Misc.asp
Potent,Vryavna,Qawi,,Potent,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Misc.asp
puerperium,Stik kla,Zamana-e-nifaas,,puerperium,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Misc.asp
pus,Pya,Qeeh,,pus,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Misc.asp
