Col 1,Col 2,Col 3,Col 4,Col 5,Source URL
Corrigent,,Musleh,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Action.asp
Corrosive,,Akkaal,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Action.asp
Demulscent,,Mulattif,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Action.asp
Deodorant,,Dafi'-e- Natn,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Action.asp
Desiccant,,Mujaffif,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Action.asp
Digestive,Pcaka,Haazim,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Action.asp
Dilator,,Mufatteh,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Action.asp
Diluent,,Muraqqiq,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Action.asp
Dipsetic,,Mu'attish,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Action.asp
Diuretic,Mtravirecanya / Mtrala,Mudirr-e-Baul,Siruneer Perukki,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Action.asp
Douch,,Qabiz,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Action.asp
Ecbolic,,Qaabiz-e-A'zalaat-e-Rehm,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Action.asp
Emmenagogue,rtavajanana,Mudirr-e-Haiz/ Mudirr-e-Tams,Rudhu undaakki,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Action.asp
Exhilarant,,Mufarreh,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Action.asp
Expulsive,Nikrmaka,Mukhrij,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Action.asp
Extinguisher,,Mutfi,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Action.asp
Fatal,Mtyukraka,Qaatil/Muhlik,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Action.asp
Flatulent,,Mubakhkhir/ Naffaakh,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Action.asp
Frigorific,,Mubarrid,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Action.asp
Galactagogue,stanyajanana,Muwallid-e-Sheer,Paal Perukki,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Action.asp
