Col 1,Col 2,Col 3,Col 4,Col 5,Source URL
Buffalo,mahia,Bhains/Jaamoos,"Erumai,Mahisham",,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Animal-Name.asp
Cow,gau,Eenak/ Mada Gao,"Pasu,Komaadhaa",,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Animal-Name.asp
Elephant,gaja/kujara,Feel/Haathi,"Yaaanai,Kaliru,Kajam,Piliru",,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Animal-Name.asp
Horse,ava,Aat / Asp / Fars / Ghoda,"Kudhirai,Pari,Vaasi",,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Animal-Name.asp
She buffalo,mahi,bhains,Pen Erumai,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Animal-Name.asp
She goat,aj,,Pen Vellaadu,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Animal-Name.asp
sheep,mea/urabhra,Mendha,Aan aadu,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Animal-Name.asp
Woman,nr,Nisa/Aurat,Pen,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Animal-Name.asp
