Col 1,Col 2,Col 3,Col 4,Col 5,Source URL
Asparagus racemosus Willd.,"atvar, Med-Mahmed",Satawar,"Seemai sathaveri, Ammai kodi, Kadumulla, Mignthavanam, Varivari, Kilavari,Paniyanaku, Thanneervittankizhangu",Indian asparagus,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Azadirachta indica A. Juss.,Nimba,Neem,"Vembu, Arittam, Nimbam, Paripathiram, Pisumantham, Vepachetta",neem,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Bacopa monnieri,Brhm,brahmi,"Neerpirami, Sapthalai, Sarumam, Sambiranipoondu","coastal waterhyssop ,    herb of grace,    herb-of-grace",https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Balanites aegyptiaca,Ingud,Ingad/Hingot/Allabakh,Nanjundaan,desert date,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Baliospermum montanum,Dant,Danti,"Kattamanakku,Niradimuthu, Peyamanakku",,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Bambusa arundinacea,"Vaa, Vaalocana, Basalocana",Khumairah Bairah/Qirtas sokhtah/Tabasheer/Baans/Nae,"Mungil, Mullumungil, Kazhai, Vaezhai, Thulai, Mulai",bamboo,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Barleria cristata Linn.,Sahacara,,"Nilachemulli, Udamulli, Vellai neelamlbaram",crested Philippine violet,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Barleria prionitis Linn.,Saireyaka,Pya bansa/Jhinti,Semmulli,porcupine flower,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Barleria strigosa Willd.,Sahacara,,"Nilambaram, Nili",,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Barringtonia acutangula,"Nicula, samudra phala",Samandarphal,"Adambu, Kadappai, Sengadambu",Indian Oak,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Basella alba Linn.,Upodik,Poi/Bachla,"Pasalikkeerai,Kodipasalikkeerai",Ceylon spinach,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Bauhinia variegata Linn.,Kcanra,Kachnal/Kachnar,"Segapu manchori, Chemmandarai, Vellai puvathi","butterfly tree , mountain ebony,orchid tree, purple orchid tree",https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Benincasa hispida,kma,Petha / Mahdayah/Kohila,"Boosani, Kalyana poosani, Poosanikkai",waxgourd,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Berberis aristata DC. / Berberis asiatica Roxb. / Berberis lycium Royle,druharidr,,"Maramanjal, Mullu kalaa, Usi kalaa",Indian Barberry,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Bergenia ciliata,pa bheda,Pakhan Bed/Kaasar-al-Shajr/Paashaan Bhed,,"aerva ,sessile joyweed",https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Bombax ceiba Linn.,lmali,Saimul/Sembhal/Mocharas/Salmali,"Mullilavu, Pulai,Poorani,Pongar,Mosam","red silk cottontree, Silk Cotton Tree, Red Cotton Tree",https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Carum carvi Linn.,kajraka,Karoya / Qirdmana / Qirtmann / Kamoon Kirmaani/ Zeerah Siyaah,"Seemai sombu, kekku vidhai,Seemai sombu","caraway , cumin caraway",https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Cassia fistula Linn.,ragvadha,Amaltaas/Kheyaar shanbar,"Kondrai, Aragoram, Idhali, Mathalai,Kiruthaamalam,Aakkuvadham, Konnei, Sarakonrai, Sarakonraipuli",golden shower,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Cassia occidentalis Linn.,ksamarda,Kasondi,"Nattam takarai, Ponavirai, Peyavirai","coffee senna,septicweed",https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Cedrela toona Roxb.,"tu, nandvka",Tun,"Sandhana vembu, Tunumaram","Red Cedar, Toon, Indian
Mahogany tree",https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Cedrus deodara,devadru,Deodar,"Devataaru,Iru thaaru,Thoon,Pathira tharugam,Thevatha surar maram, Tevadari","pinus deodara, himalayan cedar",https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
